upl,anio,temperatura_media_c,densidad_arbolado_media,poblacion,densidad_poblacional,pm25_media,estrato_medio,proporcion_estrato_1_2,vulnerabilidad_socioeconomica
UPL33,2024,15.377571227501372,6.9692035,135762,11414.403494426491,14.97312631,3.4096443644669745,0.0,-3.4096443644669745
UPL29,2024,15.597050511233546,23.0333535,343872,22921.378004669397,16.22657713914979,2.971342041886171,0.04284709186817783,-2.971342041886171
UPL12,2024,15.538394289999998,12.06367,228885,10434.940590526272,19.458983450087754,2.6369067800159653,0.36346227668063924,-2.6369067800159653
UPL17,2024,15.580823613431196,14.015213,334541,30172.747784869753,19.565326620257753,2.1345818449686247,0.8650075880437812,-2.1345818449686247
UPL15,2024,15.53839429,43.2318195,312686,27948.440300202157,17.837715049380417,1.662712794129846,1.0,-1.662712794129846
UPL26,2024,15.459012940388952,43.990278,299983,24116.74036685996,14.973126310000001,2.9894239870047263,0.21963061702120124,-2.9894239870047263
UPL03,2024,15.593003080932538,19.3886085,419987,24590.234443423327,19.108431645821465,1.8283924209702918,0.782416134833404,-1.8283924209702918
UPL16,2024,15.53839429,13.3029815,302662,44663.346420022106,18.857939444254544,1.9779639090275276,0.9973550129907534,-1.9779639090275276
UPL11,2024,15.53839429,36.890415000000004,440572,26867.857675971998,16.941347207519414,2.679202639191629,0.3630998561697062,-2.679202639191629
UPL14,2024,15.538394289999998,15.957937999999999,289506,43593.627716005685,18.91702642,1.9790200043290196,0.9913993072528546,-1.9790200043290196
UPL28,2024,15.53839429,43.49353,277232,39073.129506190744,15.376126863861012,2.4767966199977534,0.6176292948252248,-2.4767966199977534
UPL10,2024,15.53839429,24.723212,291896,40498.48042048577,16.75049325,2.176075142926713,0.8239248570732869,-2.176075142926713
UPL19,2024,15.920969189472197,67.0600815,175728,17978.360586029885,19.49140808418961,2.39426114799545,0.6024632479041004,-2.39426114799545
UPL02,2024,15.53839429,0.0,19888,72.42430523640859,16.235753531712867,1.3450392926713164,1.0,-1.3450392926713164
UPL07,2024,15.538394289999998,1.3859235,120770,2243.9870658830173,16.26020556179914,5.065617692559956,0.16078653964393666,-5.065617692559956
UPL01,2024,,,3305,4.235282235549317,,,0.0,
UPL08,2024,15.53839429,46.532734,249108,15841.017204554075,14.61267347708624,4.211587149539836,0.014939923012419549,-4.211587149539836
UPL05,2024,15.538394289999998,17.9643385,297366,16860.480232261594,15.298117186283683,1.4575318215241682,1.0,-1.4575318215241682
UPL20,2024,15.53839429,36.6484545,426931,21583.730801586564,15.071361511683396,1.7428721944412575,0.9578680677402203,-1.7428721944412575
UPL04,2024,15.53839429,15.3681445,251206,19074.168165617215,16.33751301393046,1.162975679268665,1.0,-1.162975679268665
UPL24,2024,15.871198492582218,25.814329999999998,160674,15331.781755812151,14.99473706106015,4.9743612516553695,0.04950389275069499,-4.9743612516553695
UPL23,2024,15.576920026974047,8.1505265,204020,13082.184296637091,15.140222629882794,2.662961878072574,0.3634940455978107,-2.662961878072574
UPL21,2024,15.236219637207943,14.9185735,304818,23331.845949018338,14.97312631,2.152633024470269,0.7695729483409572,-2.152633024470269
UPL06,2024,15.54560350662975,0.0,2658,18.962378656171634,15.433966105625306,3.5701517592292182,0.5469039966375242,-3.5701517592292182
UPL09,2024,15.538394290000001,53.359500499999996,175344,26893.55806563806,15.584861750081146,3.200676723379954,0.244690714017179,-3.200676723379954
